Series;Time;Value
/lxc.payload.backend;2023-06-25T15:57:17+02:00;419090432
/lxc.payload.backend;2023-06-25T15:57:47+02:00;428613632
/lxc.payload.backend;2023-06-25T15:58:17+02:00;429170688
/lxc.payload.backend;2023-06-25T15:58:47+02:00;429580288
/lxc.payload.backend;2023-06-25T15:59:17+02:00;563060736
/lxc.payload.backend;2023-06-25T15:59:47+02:00;787091456
/lxc.payload.backend;2023-06-25T16:00:17+02:00;790589440
/lxc.payload.backend;2023-06-25T16:00:47+02:00;815398912
/lxc.payload.backend;2023-06-25T16:01:17+02:00;815464448
/lxc.payload.backend;2023-06-25T16:01:47+02:00;815468544
/lxc.payload.backend;2023-06-25T16:02:17+02:00;815112192
/lxc.payload.bd;2023-06-25T15:57:17+02:00;459304960
/lxc.payload.bd;2023-06-25T15:57:47+02:00;464920576
/lxc.payload.bd;2023-06-25T15:58:17+02:00;468983808
/lxc.payload.bd;2023-06-25T15:58:47+02:00;473063424
/lxc.payload.bd;2023-06-25T15:59:17+02:00;478162944
/lxc.payload.bd;2023-06-25T15:59:47+02:00;482349056
/lxc.payload.bd;2023-06-25T16:00:17+02:00;483663872
/lxc.payload.bd;2023-06-25T16:00:47+02:00;490262528
/lxc.payload.bd;2023-06-25T16:01:17+02:00;492462080
/lxc.payload.bd;2023-06-25T16:01:47+02:00;497934336
/lxc.payload.bd;2023-06-25T16:02:17+02:00;499818496
/lxc.payload.frontend;2023-06-25T15:57:17+02:00;456974336
/lxc.payload.frontend;2023-06-25T15:57:47+02:00;456974336
/lxc.payload.frontend;2023-06-25T15:58:17+02:00;456974336
/lxc.payload.frontend;2023-06-25T15:58:47+02:00;456974336
/lxc.payload.frontend;2023-06-25T15:59:17+02:00;457388032
/lxc.payload.frontend;2023-06-25T15:59:47+02:00;460103680
/lxc.payload.frontend;2023-06-25T16:00:17+02:00;461115392
/lxc.payload.frontend;2023-06-25T16:00:47+02:00;460984320
/lxc.payload.frontend;2023-06-25T16:01:17+02:00;460787712
/lxc.payload.frontend;2023-06-25T16:01:47+02:00;459890688
/lxc.payload.frontend;2023-06-25T16:02:17+02:00;460546048
