"Time","containers-comparison_backend_1"
2023-06-26 19:59:00,0.904
2023-06-26 19:59:30,0.903
2023-06-26 20:00:00,0.898
2023-06-26 20:00:30,0.900
2023-06-26 20:01:00,0.905
2023-06-26 20:01:30,0.922
2023-06-26 20:02:00,0.931
2023-06-26 20:02:30,0.949
2023-06-26 20:03:00,0.955
2023-06-26 20:03:30,0.154
2023-06-26 20:04:00,0.154
2023-06-26 20:04:30,0.147
2023-06-26 20:05:00,0.143
2023-06-26 20:05:30,0.139
2023-06-26 20:06:00,0.142
2023-06-26 20:06:30,0.128
2023-06-26 20:07:00,0.126
2023-06-26 20:07:30,0.123
2023-06-26 20:08:00,0.126
2023-06-26 20:08:30,0.122
2023-06-26 20:09:00,0.125

