"Time","containers-comparison_backend_1"
2023-06-26 20:13:00,405901312
2023-06-26 20:13:30,446664704
2023-06-26 20:14:00,502439936
2023-06-26 20:14:30,576040960
2023-06-26 20:15:00,573059072
2023-06-26 20:15:30,514707456
2023-06-26 20:16:00,514301952
2023-06-26 20:16:30,518598656
2023-06-26 20:17:00,508522496
2023-06-26 20:17:30,502468608
2023-06-26 20:18:00,502132736
2023-06-26 20:18:30,502128640
2023-06-26 20:19:00,522997760
2023-06-26 20:19:30,539049984
2023-06-26 20:20:00,708231168
2023-06-26 20:20:30,708222976
2023-06-26 20:21:00,702976000
2023-06-26 20:21:30,525451264
2023-06-26 20:22:00,748748800
2023-06-26 20:22:30,561741824
2023-06-26 20:23:00,526012416

